,Tweets,Case_Folding,Data_Cleaning,Tokenize,Normalization,Stopwords,Stemming,Label,
978,b'RT @FairuzahUmmu: @TofaTofa_id Perlu dibuat permen PPKS utk lingkungan gereja gitu gak harusnya. Masak kampus saja?',b'rt @fairuzahummu: @tofatofa_id perlu dibuat permen ppks utk lingkungan gereja gitu gak harusnya. masak kampus saja?', perlu dibuat permen ppks utk lingkungan gereja gitu gak harusnya masak kampus saja,"['perlu', 'dibuat', 'permen', 'ppks', 'utk', 'lingkungan', 'gereja', 'gitu', 'gak', 'harusnya', 'masak', 'kampus', 'saja']","['perlu', 'dibuat', 'permen', 'ppks', 'utk', 'lingkungan', 'gereja', 'gitu', 'gak', 'harusnya', 'masak', 'kampus', 'saja']",permen ppks utk lingkungan gereja gitu gak masak kampus,permen ppks utk lingkung gereja gitu gak masak kampus,1,
1567,"b'RT @FairuzahUmmu: @CNNIndonesia Perlukah permen PPKS diterapkan di lingkungan lembaga negara, agar korban mendapatkan perlindungan? Ternyat\xe2\x80\xa6'","b'rt @fairuzahummu: @cnnindonesia perlukah permen ppks diterapkan di lingkungan lembaga negara, agar korban mendapatkan perlindungan? ternyat\xe2\x80\xa6'", perlukah permen ppks diterapkan di lingkungan lembaga negara agar korban mendapatkan perlindungan ternyat  xa,"['perlukah', 'permen', 'ppks', 'diterapkan', 'di', 'lingkungan', 'lembaga', 'negara', 'agar', 'korban', 'mendapatkan', 'perlindungan', 'ternyat', 'xa']","['perlukah', 'permen', 'ppks', 'diterapkan', 'di', 'lingkungan', 'lembaga', 'negara', 'agar', 'korban', 'mendapatkan', 'perlindungan', 'ternyat', 'xa']",permen ppks diterapkan lingkungan lembaga negara korban perlindungan ternyat,permen ppks terap lingkung lembaga negara korban lindung ternyat,1,
5335,"b'RT @CharlenneKayla: Permen PPKS bukan hanya untuk mahasiswa, tapi untuk seluruh sivitas akademika. Di kampus, kekerasan seksual bukan hanya\xe2\x80\xa6'","b'rt @charlennekayla: permen ppks bukan hanya untuk mahasiswa, tapi untuk seluruh sivitas akademika. di kampus, kekerasan seksual bukan hanya\xe2\x80\xa6'", permen ppks bukan hanya untuk mahasiswa tapi untuk seluruh sivitas akademika di kampus kekerasan seksual bukan hanya  xa,"['permen', 'ppks', 'bukan', 'hanya', 'untuk', 'mahasiswa', 'tapi', 'untuk', 'seluruh', 'sivitas', 'akademika', 'di', 'kampus', 'kekerasan', 'seksual', 'bukan', 'hanya', 'xa']","['permen', 'ppks', 'bukan', 'hanya', 'untuk', 'mahasiswa', 'tapi', 'untuk', 'seluruh', 'sivitas', 'akademika', 'di', 'kampus', 'kekerasan', 'seksual', 'bukan', 'hanya', 'xa']",permen ppks mahasiswa sivitas akademika kampus kekerasan seksual,permen ppks mahasiswa sivitas akademika kampus keras seksual,1,
5370,"b'RT @CharlenneKayla: Permen PPKS dibawa media jadi ribut-ribut elit banget, deh. Kayaknya pada lupa wawancara kelompok paling penting dalam\xe2\x80\xa6'","b'rt @charlennekayla: permen ppks dibawa media jadi ribut-ribut elit banget, deh. kayaknya pada lupa wawancara kelompok paling penting dalam\xe2\x80\xa6'", permen ppks dibawa media jadi ribut ribut elit banget deh kayaknya pada lupa wawancara kelompok paling penting dalam  xa,"['permen', 'ppks', 'dibawa', 'media', 'jadi', 'ribut', 'ribut', 'elit', 'banget', 'deh', 'kayaknya', 'pada', 'lupa', 'wawancara', 'kelompok', 'paling', 'penting', 'dalam', 'xa']","['permen', 'ppks', 'dibawa', 'media', 'jadi', 'ribut', 'ribut', 'elit', 'banget', 'deh', 'kayaknya', 'pada', 'lupa', 'wawancara', 'kelompok', 'paling', 'penting', 'dalam', 'xa']",permen ppks dibawa media ribut ribut elit banget deh kayaknya lupa wawancara kelompok,permen ppks bawa media ribut ribut elit banget deh kayak lupa wawancara kelompok,1,
8,"b'RT @fadlizon: Permendikbud ini maksudnya baik, tapi pendekatannya liberal bukan Pancasilais yg relijius. Mungkin yg bikin kurang lama jd or\xe2\x80\xa6'","b'rt @fadlizon: permendikbud ini maksudnya baik, tapi pendekatannya liberal bukan pancasilais yg relijius. mungkin yg bikin kurang lama jd or\xe2\x80\xa6'", permendikbud ini maksudnya baik tapi pendekatannya liberal bukan pancasilais yg relijius mungkin yg bikin kurang lama jd or  xa,"['permendikbud', 'ini', 'maksudnya', 'baik', 'tapi', 'pendekatannya', 'liberal', 'bukan', 'pancasilais', 'yg', 'relijius', 'mungkin', 'yg', 'bikin', 'kurang', 'lama', 'jd', 'or', 'xa']","['permendikbud', 'ini', 'maksudnya', 'baik', 'tapi', 'pendekatannya', 'liberal', 'bukan', 'pancasilais', 'yg', 'relijius', 'mungkin', 'yg', 'bikin', 'kurang', 'lama', 'jd', 'or', 'xa']",permendikbud maksudnya pendekatannya liberal pancasilais yg relijius yg bikin jd or,permendikbud maksud dekat liberal pancasilais yg relijius yg bikin jd or,0,
1014,b'RT @mpeduliumat: PERMENDIKBUD NO 30 TAHUN 2021 BUKAN SOLUSI KEKERASAN SEKSUAL\n\nBaru saja permendikbud no 30 tahun 2021 mengenai pencegahan\xe2\x80\xa6',b'rt @mpeduliumat: permendikbud no 30 tahun 2021 bukan solusi kekerasan seksual\n\nbaru saja permendikbud no 30 tahun 2021 mengenai pencegahan\xe2\x80\xa6', permendikbud no tahun bukan solusi kekerasan seksual nbaru saja permendikbud no tahun mengenai pencegahan  xa,"['permendikbud', 'no', 'tahun', 'bukan', 'solusi', 'kekerasan', 'seksual', 'nbaru', 'saja', 'permendikbud', 'no', 'tahun', 'mengenai', 'pencegahan', 'xa']","['permendikbud', 'no', 'tahun', 'bukan', 'solusi', 'kekerasan', 'seksual', 'nbaru', 'saja', 'permendikbud', 'no', 'tahun', 'mengenai', 'pencegahan', 'xa']",permendikbud no solusi kekerasan seksual nbaru permendikbud no pencegahan,permendikbud no solusi keras seksual nbaru permendikbud no cegah,0,
3289,b'RT @FriendlyFrost: Permendikbud PPKS dirilis:\n\nSeks bebas makin menggila \xe2\x9c\x96\xef\xb8\x8f\xe2\x9c\x96\xef\xb8\x8f\xe2\x9c\x96\xef\xb8\x8f\nLaporan kekerasan seksual meningkat \xe2\x9c\x94\xef\xb8\x8f\xe2\x9c\x94\xef\xb8\x8f\xe2\x9c\x94\xef\xb8\x8f\n\nPredator kampus\xe2\x80\xa6',b'rt @friendlyfrost: permendikbud ppks dirilis:\n\nseks bebas makin menggila \xe2\x9c\x96\xef\xb8\x8f\xe2\x9c\x96\xef\xb8\x8f\xe2\x9c\x96\xef\xb8\x8f\nlaporan kekerasan seksual meningkat \xe2\x9c\x94\xef\xb8\x8f\xe2\x9c\x94\xef\xb8\x8f\xe2\x9c\x94\xef\xb8\x8f\n\npredator kampus\xe2\x80\xa6', permendikbud ppks dirilis nseks bebas makin menggila  xef xb  xef xb  xef xb nlaporan kekerasan seksual meningkat  xef xb  xef xb  xef xb npredator kampus  xa,"['permendikbud', 'ppks', 'dirilis', 'nseks', 'bebas', 'makin', 'menggila', 'xef', 'xb', 'xef', 'xb', 'xef', 'xb', 'nlaporan', 'kekerasan', 'seksual', 'meningkat', 'xef', 'xb', 'xef', 'xb', 'xef', 'xb', 'npredator', 'kampus', 'xa']","['permendikbud', 'ppks', 'dirilis', 'nseks', 'bebas', 'makin', 'menggila', 'xef', 'xb', 'xef', 'xb', 'xef', 'xb', 'nlaporan', 'kekerasan', 'seksual', 'meningkat', 'xef', 'xb', 'xef', 'xb', 'xef', 'xb', 'npredator', 'kampus', 'xa']",permendikbud ppks dirilis nseks bebas menggila xef xb xef xb xef xb nlaporan kekerasan seksual meningkat xef xb xef xb xef xb npredator kampus,permendikbud ppks rilis nseks bebas gila xef xb xef xb xef xb nlaporan keras seksual tingkat xef xb xef xb xef xb npredator kampus,0,
26,"b'RT @CNNIndonesia: Permendikbud PPKS menuai kecaman dari berbagai pihak karena dianggap melegalkan perzinaan. Menurut Nadiem, ia menerbitkan\xe2\x80\xa6'","b'rt @cnnindonesia: permendikbud ppks menuai kecaman dari berbagai pihak karena dianggap melegalkan perzinaan. menurut nadiem, ia menerbitkan\xe2\x80\xa6'", permendikbud ppks menuai kecaman dari berbagai pihak karena dianggap melegalkan perzinaan menurut nadiem ia menerbitkan  xa,"['permendikbud', 'ppks', 'menuai', 'kecaman', 'dari', 'berbagai', 'pihak', 'karena', 'dianggap', 'melegalkan', 'perzinaan', 'menurut', 'nadiem', 'ia', 'menerbitkan', 'xa']","['permendikbud', 'ppks', 'menuai', 'kecaman', 'dari', 'berbagai', 'pihak', 'karena', 'dianggap', 'melegalkan', 'perzinaan', 'menurut', 'nadiem', 'ia', 'menerbitkan', 'xa']",permendikbud ppks menuai kecaman dianggap melegalkan perzinaan nadiem menerbitkan,permendikbud ppks tuai kecam anggap legal zina nadiem terbit,0,
913,"b'RT @TintaSiyasiID: Permendikbud Ristek PPKS, Advokat: Bukan Harapan Tetapi Ancaman\n\nhttps://t.co/PUgSwckIi2'","b'rt @tintasiyasiid: permendikbud ristek ppks, advokat: bukan harapan tetapi ancaman\n\nhttps://t.co/pugswckii2'", permendikbud ristek ppks advokat bukan harapan tetapi ancaman,"['permendikbud', 'ristek', 'ppks', 'advokat', 'bukan', 'harapan', 'tetapi', 'ancaman']","['permendikbud', 'ristek', 'ppks', 'advokat', 'bukan', 'harapan', 'tetapi', 'ancaman']",permendikbud ristek ppks advokat harapan ancaman,permendikbud ristek ppks advokat harap ancam,0,
11,b'RT @HopeHelpsNet: Permendikbud-Ristek PPKS menjelaskan langkah awal penciptaan ruang aman di lingkungan kampus. Gimana sih caranya nyiptain\xe2\x80\xa6',b'rt @hopehelpsnet: permendikbud-ristek ppks menjelaskan langkah awal penciptaan ruang aman di lingkungan kampus. gimana sih caranya nyiptain\xe2\x80\xa6', permendikbud ristek ppks menjelaskan langkah awal penciptaan ruang aman di lingkungan kampus gimana sih caranya nyiptain  xa,"['permendikbud', 'ristek', 'ppks', 'menjelaskan', 'langkah', 'awal', 'penciptaan', 'ruang', 'aman', 'di', 'lingkungan', 'kampus', 'gimana', 'sih', 'caranya', 'nyiptain', 'xa']","['permendikbud', 'ristek', 'ppks', 'menjelaskan', 'langkah', 'awal', 'penciptaan', 'ruang', 'aman', 'di', 'lingkungan', 'kampus', 'gimana', 'sih', 'caranya', 'nyiptain', 'xa']",permendikbud ristek ppks langkah penciptaan ruang aman lingkungan kampus gimana sih nyiptain,permendikbud ristek ppks langkah cipta ruang aman lingkung kampus gimana sih nyiptain,1,
267,"b'RT @dodhand: Permendikbud 30 thogut. \nTegakkan khilafah,"" kata orator aksi \nWoii .. nenek luh Pe\'ang \xe2\x80\xbc\xef\xb8\x8f\n\nhttps://t.co/HsBTJqnOuZ\n\nSejumlah\xe2\x80\xa6'","b'rt @dodhand: permendikbud 30 thogut. \ntegakkan khilafah,"" kata orator aksi \nwoii .. nenek luh pe\'ang \xe2\x80\xbc\xef\xb8\x8f\n\nhttps://t.co/hsbtjqnouz\n\nsejumlah\xe2\x80\xa6'", permendikbud thogut ntegakkan khilafah kata orator aksi nwoii nenek luh pe ang  xbc xef xb,"['permendikbud', 'thogut', 'ntegakkan', 'khilafah', 'kata', 'orator', 'aksi', 'nwoii', 'nenek', 'luh', 'pe', 'ang', 'xbc', 'xef', 'xb']","['permendikbud', 'thogut', 'ntegakkan', 'khilafah', 'kata', 'orator', 'aksi', 'nwoii', 'nenek', 'luh', 'pe', 'ang', 'xbc', 'xef', 'xb']",permendikbud thogut ntegakkan khilafah orator aksi nwoii nenek luh pe ang xbc xef xb,permendikbud thogut ntegakkan khilafah orator aksi nwoii nenek luh pe ang xbc xef xb,,9
542,b'RT @MbahTo581809: *[Diskusi Publik] PERMENDIKBUDRISTEK NO. 30 TAHUN 2021 : LEGALKAN SEKS BEBAS?*\n\nDengan alasan mencegah kekerasan seksual\xe2\x80\xa6',b'rt @mbahto581809: *[diskusi publik] permendikbudristek no. 30 tahun 2021 : legalkan seks bebas?*\n\ndengan alasan mencegah kekerasan seksual\xe2\x80\xa6', permendikbudristek no tahun legalkan seks bebas ndengan alasan mencegah kekerasan seksual  xa,"['permendikbudristek', 'no', 'tahun', 'legalkan', 'seks', 'bebas', 'ndengan', 'alasan', 'mencegah', 'kekerasan', 'seksual', 'xa']","['permendikbudristek', 'no', 'tahun', 'legalkan', 'seks', 'bebas', 'ndengan', 'alasan', 'mencegah', 'kekerasan', 'seksual', 'xa']",permendikbudristek no legalkan seks bebas ndengan alasan mencegah kekerasan seksual,permendikbudristek no legal seks bebas ndengan alas cegah keras seksual,0,
942,b'RT @IDNTimesSulsel: Permendikbudristek PPKS jadi acuan dan payung hukum https://t.co/A7W31dTLmf',b'rt @idntimessulsel: permendikbudristek ppks jadi acuan dan payung hukum https://t.co/a7w31dtlmf', permendikbudristek ppks jadi acuan dan payung hukum,"['permendikbudristek', 'ppks', 'jadi', 'acuan', 'dan', 'payung', 'hukum']","['permendikbudristek', 'ppks', 'jadi', 'acuan', 'dan', 'payung', 'hukum']",permendikbudristek ppks acuan payung hukum,permendikbudristek ppks acu payung hukum,1,
5426,"b'RT @onomsalam2pas: Permendikbudristek PPKS, Penyelewengan Terhadap Konstitusi?  https://t.co/SfAhbRYheB ; ?&gt;\nCovid-19\n20 November 2021\nAda\xe2\x80\xa6'","b'rt @onomsalam2pas: permendikbudristek ppks, penyelewengan terhadap konstitusi?  https://t.co/sfahbryheb ; ?&gt;\ncovid-19\n20 november 2021\nada\xe2\x80\xa6'", permendikbudristek ppks penyelewengan terhadap konstitusi gt ncovid november nada  xa,"['permendikbudristek', 'ppks', 'penyelewengan', 'terhadap', 'konstitusi', 'gt', 'ncovid', 'november', 'nada', 'xa']","['permendikbudristek', 'ppks', 'penyelewengan', 'terhadap', 'konstitusi', 'gt', 'ncovid', 'november', 'nada', 'xa']",permendikbudristek ppks penyelewengan konstitusi gt ncovid november nada,permendikbudristek ppks seleweng konstitusi gt ncovid november nada,0,
5315,b'RT @M3juahjuah: PermendikbudRistek PPKS untuk cegah kekerasan seksual.\n\nKH Husein Muhammad katakan Permendikbudristek PPKS ini penting.\nBel\xe2\x80\xa6',b'rt @m3juahjuah: permendikbudristek ppks untuk cegah kekerasan seksual.\n\nkh husein muhammad katakan permendikbudristek ppks ini penting.\nbel\xe2\x80\xa6', permendikbudristek ppks untuk cegah kekerasan seksual nkh husein muhammad katakan permendikbudristek ppks ini penting nbel  xa,"['permendikbudristek', 'ppks', 'untuk', 'cegah', 'kekerasan', 'seksual', 'nkh', 'husein', 'muhammad', 'katakan', 'permendikbudristek', 'ppks', 'ini', 'penting', 'nbel', 'xa']","['permendikbudristek', 'ppks', 'untuk', 'cegah', 'kekerasan', 'seksual', 'nkh', 'husein', 'muhammad', 'katakan', 'permendikbudristek', 'ppks', 'ini', 'penting', 'nbel', 'xa']",permendikbudristek ppks cegah kekerasan seksual nkh husein muhammad permendikbudristek ppks nbel,permendikbudristek ppks cegah keras seksual nkh husein muhammad permendikbudristek ppks nbel,1,
1073,"b'RT @kompasiana: PPKS, Setetes Air di Tengah Gurun Kekerasan Seksual Tersembunyi Kampus https://t.co/jg1v2rsbqH'","b'rt @kompasiana: ppks, setetes air di tengah gurun kekerasan seksual tersembunyi kampus https://t.co/jg1v2rsbqh'", ppks setetes air di tengah gurun kekerasan seksual tersembunyi kampus,"['ppks', 'setetes', 'air', 'di', 'tengah', 'gurun', 'kekerasan', 'seksual', 'tersembunyi', 'kampus']","['ppks', 'setetes', 'air', 'di', 'tengah', 'gurun', 'kekerasan', 'seksual', 'tersembunyi', 'kampus']",ppks setetes air gurun kekerasan seksual tersembunyi kampus,ppks tetes air gurun keras seksual sembunyi kampus,1,
910,b'RT @CNNIndonesia: Pro Kontra Permendikbud PPKS di Tengah Pandemi https://t.co/VpjKzI60Vt',b'rt @cnnindonesia: pro kontra permendikbud ppks di tengah pandemi https://t.co/vpjkzi60vt', pro kontra permendikbud ppks di tengah pandemi,"['pro', 'kontra', 'permendikbud', 'ppks', 'di', 'tengah', 'pandemi']","['pro', 'kontra', 'permendikbud', 'ppks', 'di', 'tengah', 'pandemi']",pro kontra permendikbud ppks pandemi,pro kontra permendikbud ppks pandemi,,9
957,b'RT @detikcom: Ratusan mahasiswa menggelar aksi demo di Kemendikbud menuntut pencabutan permendikbud no 30 tahun 2021 tentang Pencegahan dan\xe2\x80\xa6',b'rt @detikcom: ratusan mahasiswa menggelar aksi demo di kemendikbud menuntut pencabutan permendikbud no 30 tahun 2021 tentang pencegahan dan\xe2\x80\xa6', ratusan mahasiswa menggelar aksi demo di kemendikbud menuntut pencabutan permendikbud no tahun tentang pencegahan dan  xa,"['ratusan', 'mahasiswa', 'menggelar', 'aksi', 'demo', 'di', 'kemendikbud', 'menuntut', 'pencabutan', 'permendikbud', 'no', 'tahun', 'tentang', 'pencegahan', 'dan', 'xa']","['ratusan', 'mahasiswa', 'menggelar', 'aksi', 'demo', 'di', 'kemendikbud', 'menuntut', 'pencabutan', 'permendikbud', 'no', 'tahun', 'tentang', 'pencegahan', 'dan', 'xa']",ratusan mahasiswa menggelar aksi demo kemendikbud menuntut pencabutan permendikbud no pencegahan,ratus mahasiswa gelar aksi demo kemendikbud tuntut cabut permendikbud no cegah,0,
5398,"b'RT @fordoyoungkim: RUU PPKS diabaikan, Permendikbud 30 di kritik habis-habisan. Segitu gamaunya ngelindungin hak-hak perempuan? As if these\xe2\x80\xa6'","b'rt @fordoyoungkim: ruu ppks diabaikan, permendikbud 30 di kritik habis-habisan. segitu gamaunya ngelindungin hak-hak perempuan? as if these\xe2\x80\xa6'", ruu ppks diabaikan permendikbud di kritik habis habisan segitu gamaunya ngelindungin hak hak perempuan as if these  xa,"['ruu', 'ppks', 'diabaikan', 'permendikbud', 'di', 'kritik', 'habis', 'habisan', 'segitu', 'gamaunya', 'ngelindungin', 'hak', 'hak', 'perempuan', 'as', 'if', 'these', 'xa']","['ruu', 'ppks', 'diabaikan', 'permendikbud', 'di', 'kritik', 'habis', 'habisan', 'segitu', 'gamaunya', 'ngelindungin', 'hak', 'hak', 'perempuan', 'as', 'if', 'these', 'xa']",ruu ppks diabaikan permendikbud kritik habis habisan segitu gamaunya ngelindungin hak hak perempuan as if these,ruu ppks abai permendikbud kritik habis habis segitu gamaunya ngelindungin hak hak perempuan as if these,0,
5383,"b'RT @tifsembiring: Sebenarnya saat RUU PKS diajukan, poin2 yg mengarah kpd \xe2\x80\x98sexual consent\xe2\x80\x99 ini sangat dikritik tokoh2 masyarakat, sbg boleh\xe2\x80\xa6'","b'rt @tifsembiring: sebenarnya saat ruu pks diajukan, poin2 yg mengarah kpd \xe2\x80\x98sexual consent\xe2\x80\x99 ini sangat dikritik tokoh2 masyarakat, sbg boleh\xe2\x80\xa6'", sebenarnya saat ruu pks diajukan poin yg mengarah kpd  sexual consent  ini sangat dikritik tokoh masyarakat sbg boleh  xa,"['sebenarnya', 'saat', 'ruu', 'pks', 'diajukan', 'poin', 'yg', 'mengarah', 'kpd', 'sexual', 'consent', 'ini', 'sangat', 'dikritik', 'tokoh', 'masyarakat', 'sbg', 'boleh', 'xa']","['sebenarnya', 'saat', 'ruu', 'pks', 'diajukan', 'poin', 'yg', 'mengarah', 'kpd', 'sexual', 'consent', 'ini', 'sangat', 'dikritik', 'tokoh', 'masyarakat', 'sbg', 'boleh', 'xa']",ruu pks diajukan poin yg mengarah kpd sexual consent dikritik tokoh masyarakat sbg,ruu pks aju poin yg arah kpd sexual consent kritik tokoh masyarakat sbg,,9
5371,"b'RT @GunRomli: Seenaknya nuduh2 ""legalisasi perzinahan/free sex"" setelah dituding balik: hanya penjahat-penjahat kelamin krn menolak Permend\xe2\x80\xa6'","b'rt @gunromli: seenaknya nuduh2 ""legalisasi perzinahan/free sex"" setelah dituding balik: hanya penjahat-penjahat kelamin krn menolak permend\xe2\x80\xa6'", seenaknya nuduh legalisasi perzinahan free sex setelah dituding balik hanya penjahat penjahat kelamin krn menolak permend  xa,"['seenaknya', 'nuduh', 'legalisasi', 'perzinahan', 'free', 'sex', 'setelah', 'dituding', 'balik', 'hanya', 'penjahat', 'penjahat', 'kelamin', 'krn', 'menolak', 'permend', 'xa']","['seenaknya', 'nuduh', 'legalisasi', 'perzinahan', 'free', 'sex', 'setelah', 'dituding', 'balik', 'hanya', 'penjahat', 'penjahat', 'kelamin', 'krn', 'menolak', 'permend', 'xa']",nuduh legalisasi perzinahan free sex dituding penjahat penjahat kelamin krn menolak permend,nuduh legalisasi perzinahan free sex tuding jahat jahat kelamin krn tolak permend,0,
132,"b'RT @rudysarwa: Seharusnya mahasiswa yg mana punya akses pendidikan tinggi, seharusnya lebih uptodate pada science moderen.\nTapi mahsiswa ki\xe2\x80\xa6'","b'rt @rudysarwa: seharusnya mahasiswa yg mana punya akses pendidikan tinggi, seharusnya lebih uptodate pada science moderen.\ntapi mahsiswa ki\xe2\x80\xa6'", seharusnya mahasiswa yg mana punya akses pendidikan tinggi seharusnya lebih uptodate pada science moderen ntapi mahsiswa ki  xa,"['seharusnya', 'mahasiswa', 'yg', 'mana', 'punya', 'akses', 'pendidikan', 'tinggi', 'seharusnya', 'lebih', 'uptodate', 'pada', 'science', 'moderen', 'ntapi', 'mahsiswa', 'ki', 'xa']","['seharusnya', 'mahasiswa', 'yg', 'mana', 'punya', 'akses', 'pendidikan', 'tinggi', 'seharusnya', 'lebih', 'uptodate', 'pada', 'science', 'moderen', 'ntapi', 'mahsiswa', 'ki', 'xa']",mahasiswa yg akses pendidikan uptodate science moderen ntapi mahsiswa ki,mahasiswa yg akses didik uptodate science moderen ntapi mahsiswa ki,1,
1454,"b'RT @a_cinderakasih: Sejak pertengahan tahun dan sebelum permendikbud ppks, di kampus udah ada delik aduan. Meski enggak spesifik untuk keke\xe2\x80\xa6'","b'rt @a_cinderakasih: sejak pertengahan tahun dan sebelum permendikbud ppks, di kampus udah ada delik aduan. meski enggak spesifik untuk keke\xe2\x80\xa6'", sejak pertengahan tahun dan sebelum permendikbud ppks di kampus udah ada delik aduan meski enggak spesifik untuk keke  xa,"['sejak', 'pertengahan', 'tahun', 'dan', 'sebelum', 'permendikbud', 'ppks', 'di', 'kampus', 'udah', 'ada', 'delik', 'aduan', 'meski', 'enggak', 'spesifik', 'untuk', 'keke', 'xa']","['sejak', 'pertengahan', 'tahun', 'dan', 'sebelum', 'permendikbud', 'ppks', 'di', 'kampus', 'udah', 'ada', 'delik', 'aduan', 'meski', 'enggak', 'spesifik', 'untuk', 'keke', 'xa']",pertengahan permendikbud ppks kampus udah delik aduan spesifik keke,tengah permendikbud ppks kampus udah delik adu spesifik keke,1,
853,b'RT @detikcom: Sejumlah mahasiswa menggelar demonstrasi di Medan. Mereka meminta Permendikbudr PPKS di Lingkungan Perguruan Tinggi dicabut.\xe2\x80\xa6',b'rt @detikcom: sejumlah mahasiswa menggelar demonstrasi di medan. mereka meminta permendikbudr ppks di lingkungan perguruan tinggi dicabut.\xe2\x80\xa6', sejumlah mahasiswa menggelar demonstrasi di medan mereka meminta permendikbudr ppks di lingkungan perguruan tinggi dicabut  xa,"['sejumlah', 'mahasiswa', 'menggelar', 'demonstrasi', 'di', 'medan', 'mereka', 'meminta', 'permendikbudr', 'ppks', 'di', 'lingkungan', 'perguruan', 'tinggi', 'dicabut', 'xa']","['sejumlah', 'mahasiswa', 'menggelar', 'demonstrasi', 'di', 'medan', 'mereka', 'meminta', 'permendikbudr', 'ppks', 'di', 'lingkungan', 'perguruan', 'tinggi', 'dicabut', 'xa']",mahasiswa menggelar demonstrasi medan permendikbudr ppks lingkungan perguruan dicabut,mahasiswa gelar demonstrasi medan permendikbudr ppks lingkung guru cabut,0,
747,"b'RT @GunRomli: Selain penjahat kelamin, penolak Permendikbudristek PPKS ini juga pendukung Khilafah!\n\nGema Pembebasan itu sayap Hizbut Tahri\xe2\x80\xa6'","b'rt @gunromli: selain penjahat kelamin, penolak permendikbudristek ppks ini juga pendukung khilafah!\n\ngema pembebasan itu sayap hizbut tahri\xe2\x80\xa6'", selain penjahat kelamin penolak permendikbudristek ppks ini juga pendukung khilafah ngema pembebasan itu sayap hizbut tahri  xa,"['selain', 'penjahat', 'kelamin', 'penolak', 'permendikbudristek', 'ppks', 'ini', 'juga', 'pendukung', 'khilafah', 'ngema', 'pembebasan', 'itu', 'sayap', 'hizbut', 'tahri', 'xa']","['selain', 'penjahat', 'kelamin', 'penolak', 'permendikbudristek', 'ppks', 'ini', 'juga', 'pendukung', 'khilafah', 'ngema', 'pembebasan', 'itu', 'sayap', 'hizbut', 'tahri', 'xa']",penjahat kelamin penolak permendikbudristek ppks pendukung khilafah ngema pembebasan sayap hizbut tahri,jahat kelamin tolak permendikbudristek ppks dukung khilafah ngema bebas sayap hizbut tahri,0,
5431,"b'RT @kompascom: Sesungguhnya, pernikahan dini juga menjadi bahaya tersembunyi di tengah kehebohan polemik Permendikbud PPKS. https://t.co/6R\xe2\x80\xa6'","b'rt @kompascom: sesungguhnya, pernikahan dini juga menjadi bahaya tersembunyi di tengah kehebohan polemik permendikbud ppks. https://t.co/6r\xe2\x80\xa6'", sesungguhnya pernikahan dini juga menjadi bahaya tersembunyi di tengah kehebohan polemik permendikbud ppks,"['sesungguhnya', 'pernikahan', 'dini', 'juga', 'menjadi', 'bahaya', 'tersembunyi', 'di', 'tengah', 'kehebohan', 'polemik', 'permendikbud', 'ppks']","['sesungguhnya', 'pernikahan', 'dini', 'juga', 'menjadi', 'bahaya', 'tersembunyi', 'di', 'tengah', 'kehebohan', 'polemik', 'permendikbud', 'ppks']",sesungguhnya pernikahan bahaya tersembunyi kehebohan polemik permendikbud ppks,sungguh nikah bahaya sembunyi heboh polemik permendikbud ppks,,9
3776,"b'RT @catchmeupid: Setelah menuai pro dan kontra, Permendikbud PPKS udah resmi berlaku nih gengs. \n\nMakin ke sini, ternyata makin banyak korb\xe2\x80\xa6'","b'rt @catchmeupid: setelah menuai pro dan kontra, permendikbud ppks udah resmi berlaku nih gengs. \n\nmakin ke sini, ternyata makin banyak korb\xe2\x80\xa6'", setelah menuai pro dan kontra permendikbud ppks udah resmi berlaku nih gengs nmakin ke sini ternyata makin banyak korb  xa,"['setelah', 'menuai', 'pro', 'dan', 'kontra', 'permendikbud', 'ppks', 'udah', 'resmi', 'berlaku', 'nih', 'gengs', 'nmakin', 'ke', 'sini', 'ternyata', 'makin', 'banyak', 'korb', 'xa']","['setelah', 'menuai', 'pro', 'dan', 'kontra', 'permendikbud', 'ppks', 'udah', 'resmi', 'berlaku', 'nih', 'gengs', 'nmakin', 'ke', 'sini', 'ternyata', 'makin', 'banyak', 'korb', 'xa']",menuai pro kontra permendikbud ppks udah resmi berlaku nih gengs nmakin korb,tuai pro kontra permendikbud ppks udah resmi laku nih gengs nmakin korb,1,
